docId,voteid,final,competitionId
4689c400f235b3befbbd7e6c4ea8ba97,46510,1,294
7ac7f8afd546eecff8fdebda069766cc,46754,2,294
1c050184a992b720ab3436cf8aeb98e6,46486,3,294
71083bd05871f813ce027907bf022164,46320,5,294
1e7603ca1414592181c7bb16f14811c9,46419,7,294
e9eb30a2b3772651e831081e853f5418,46400,9,294
e836efcc731ff1e8898300959a9c399f,46720,14,294
f13c86f9931e45fbd2f45725f4f1dd69,46408,17,294
d9812627b062bc0be44be386d3be28d8,46619,18,294
91a93cddfa6d481ad351f610f18d414b,46519,19,294
0a5d95688c2984cc0384e6e4b1fb516f,46501,20,294
91edb553f6d7abd80440e53bcde724e3,46699,22,294
00183689bc74a9fc44a95ee61ffb11da,46439,23,294
8c76e634f7de9d2613345e56369314a9,46816,24,294
db05da1b5b009d1067fc55c16ddfc60d,46387,29,294
072b720130f33b9fa076866809912c2e,46818,31,294
c1e2392a6beba5204934e04daafb3b75,46690,33,294
62d9f83167cd1dc54fce4c27e4f98baf,46269,34,294
8e371e5fca5a63d3be61ad0d9c1e3717,46377,36,294
1ac9232a862086b2096ca349a9fe80a2,46433,39,294
acb060a635f14da370235ada42e0df78,46239,41,294
5f41884f0c164ef34b853ff8c8de802d,46696,42,294
796b3806e95b0d48169ca06b9ffea945,46395,44,294
3b45b4b279edb1ab5f1838f2917e77e2,46454,45,294
af5825f926cd638e0a57709d03ebd19b,46541,46,294
ce72e03671ada5a28c7fde201290f5a6,46654,47,294
920b90b7732d64703ff4bc31581f1660,46532,48,294
8df2e950d035eeb383a36fcc10b518a5,46531,49,294
659dfe65eb1c82cfbb8e7c8994ab568d,46698,51,294
378f75c298a753b86063f15d671f3cd0,46373,53,294
2d8e73f227f29fbf46f0f4460f73afb1,46653,56,294
3bae4ca7b909c78727fc06024696582d,46549,59,294
a4d949c6972e7e51c3a59b69394cd5f3,46770,60,294
21f78795b8f94d44e179fb1cc28d83d7,46633,61,294
d17262db48c8afebff08e73fec7987a5,46691,62,294
8d6d6473e6c1ece0467fe569f047ffc8,46360,64,294
9f4f425ead1b5050250c53b208d44ad6,46822,65,294
355e343b649bf12201b01a66c68e19d8,46537,68,294
c4c51e3540c8f481f223c4a45ce3965d,46624,69,294
d6053b9c4464a24fcd1c99a0e296fecc,46275,71,294
8487366b3ca6ac0144f81425a9795d16,46539,72,294
be39e708067dec723dae0a59b6d9f385,46731,76,294
27e8248ef3b21bb3c4d2b4c2e28ae1c6,46752,78,294
7d045a7cd71819a88c437b76c113c782,46279,79,294
