competitionId,competitionType
290,fiction
291,poetry
292,poetry
293,fiction
294,fiction
295,poetry
298,fiction
299,poetry
302,fiction
303,poetry
306,fiction
307,poetry
310,fiction
311,poetry
314,poetry
315,fiction
318,poetry
319,fiction
322,poetry
323,fiction
326,poetry
327,fiction
330,poetry
331,fiction
334,poetry
335,fiction
338,poetry
339,fiction
342,poetry
343,fiction
346,fiction
347,poetry
350,fiction
351,poetry
354,fiction
355,poetry
359,fiction
360,poetry
